Altium Designer Pick and Place Locations,,,,,,,
C:\Users\Haesung\OneDrive - Cal Poly Pomona\ESP 32 WITH USB C\Project Outputs for ESP 32 with USBC\Pick Place\Pick Place for ESP32 with USBC PCB V1l1(Prototype).csv,,,,,,,
,,,,,,,
========================================================================================================================,,,,,,,
File Design Information:,,,,,,,
,,,,,,,
Date:       19-10-25,,,,,,,
Time:       20:15,,,,,,,
Revision:   Not in VersionControl,,,,,,,
Variant:    Prototype,,,,,,,
Units used: mil,,,,,,,
,,,,,,,
Designator,Comment,Layer,Footprint,Center-X(mil),Center-Y(mil),Rotation,Description
C2,"4u7, 16V",TopLayer,CAPC1005X65N,740,560,180,CAP CER 4.7UF 16V X5R 0402
J3,217179-0001,TopLayer,FP-2171790001-MFG,147.579,779.921,270,CONN RCP USB2.0 TYP C 24P SMD RA
J4,217179-0001,TopLayer,FP-2171790001-MFG,157.579,220.079,270,CONN RCP USB2.0 TYP C 24P SMD RA
U3,TL1963A-33DCYR,TopLayer,DCY0004A_N,780,289.276,0,IC REG LIN 3.3V 1.5A SOT-223-4
U2,FT231XQ-R,TopLayer,FP-QFN-20-IPC_B,710,770,270,IC USB SERIAL FULL UART 20QFN
U1,ESP32-S3-MINI-1-N8,TopLayer,XCVR_ESP32-S3-MINI-1-N8,2395.039,500,270,"SMD Module, ESP-32-S3FN8, 8 mb Sp"
SW2,PTS645SH50SMTR92LFS,TopLayer,FP-PTS645SH50SMTR92LFS-MFG,1400,750,180,SWITCH TACTILE SPST-NO 0.05A 12V
SW1,PTS645SH50SMTR92LFS,TopLayer,FP-PTS645SH50SMTR92LFS-MFG,1400,250,180,SWITCH TACTILE SPST-NO 0.05A 12V
2,0R,TopLayer,RESC1005X37N,1936,448,0,RES 0 OHM JUMPER 1/16W 0402
R23,0R,TopLayer,RESC1005X37N,1936,520,0,RES 0 OHM JUMPER 1/16W 0402
R22,27R,TopLayer,RESC1005X37N,1965,780,0,RES 27 OHM 1% 1/16W 0402
R21,27R,TopLayer,RESC1005X37N,1965,830,0,RES 27 OHM 1% 1/16W 0402
R20,0R,TopLayer,RESC1005X37N,2133,155,180,RES 0 OHM JUMPER 1/16W 0402
R19,0R,TopLayer,RESC1005X37N,2046,155,180,RES 0 OHM JUMPER 1/16W 0402
R18,10k,TopLayer,RESC1005X37N,1010,835,90,RES SMD 10K OHM 1% 1/16W 0402
R17,10k,TopLayer,RESC1005X37N,1650,295,90,RES SMD 10K OHM 1% 1/16W 0402
R16,10k,TopLayer,RESC1005X37N,1015,645,270,RES SMD 10K OHM 1% 1/16W 0402
R15,5k1,TopLayer,RESC1005X37N,415,250,90,62.5mW Thick Film Resistors 50V RES SMD 5.1K OHM 1% 1/16W 0402▽100ppm/﹎ ▽1% 5.1k目 0402 Chip Resistor - Surface Mount ROHS
R14,5k1,TopLayer,RESC1005X37N,415,145,270,62.5mW Thick Film Resistors 50V RES SMD 5.1K OHM 1% 1/16W 0402▽100ppm/﹎ ▽1% 5.1k目 0402 Chip Resistor - Surface Mount ROHS
R13,10k,TopLayer,RESC1005X37N,890,610,180,RES SMD 10K OHM 1% 1/16W 0402
R12,5k1,TopLayer,RESC1005X37N,400,832.992,90,62.5mW Thick Film Resistors 50V RES SMD 5.1K OHM 1% 1/16W 0402▽100ppm/﹎ ▽1% 5.1k目 0402 Chip Resistor - Surface Mount ROHS
R11,5k1,TopLayer,RESC1005X37N,415,725,270,62.5mW Thick Film Resistors 50V RES SMD 5.1K OHM 1% 1/16W 0402▽100ppm/﹎ ▽1% 5.1k目 0402 Chip Resistor - Surface Mount ROHS
R10,4k7,TopLayer,RESC1005X37N,890,660,0,RES 4.7K OHM 1% 1/16W 0402
R8,0R,TopLayer,RESC1005X37N,595,585,90,RES 0 OHM JUMPER 1/16W 0402
R7,27R,TopLayer,RESC1005X37N,540,785,0,RES 27 OHM 1% 1/16W 0402
R6,27R,TopLayer,RESC1005X37N,540,735,0,RES 27 OHM 1% 1/16W 0402
R5,0R,TopLayer,RESC1005X37N,915,865,180,RES 0 OHM JUMPER 1/16W 0402
R4,1K,TopLayer,RESC1005X37N,1790,800,270,RES 1K OHM 1% 1/16W 0402
R3,1K,TopLayer,RESC1005X37N,1790,200,90,RES 1K OHM 1% 1/16W 0402
R1,0R,TopLayer,RESC1005X37N,708,505,0,RES 0 OHM JUMPER 1/16W 0402
Q2,SS8050-G,TopLayer,FP-SS8050-G-IPC_B,1112.423,812.598,0,TRANS NPN 25V 1.5A SOT-23-3
Q1,SS8050-G,TopLayer,FP-SS8050-G-IPC_B,1120,670,0,TRANS NPN 25V 1.5A SOT-23-3
D8,AQ3045-01ETG,TopLayer,SOD882,337,167.205,90,TVS DIODE 5.3VWM 12VC SOD882
D7,AQ3045-01ETG,TopLayer,SOD882,335,234.795,270,TVS DIODE 5.3VWM 12VC SOD882
D6,AQ3045-01ETG,TopLayer,SOD882,340,370,0,TVS DIODE 5.3VWM 12VC SOD882
D5,AQ3045-01ETG,TopLayer,SOD882,340,737.205,90,TVS DIODE 5.3VWM 12VC SOD882
D4,AQ3045-01ETG,TopLayer,SOD882,335,822.795,270,TVS DIODE 5.3VWM 12VC SOD882
D3,AQ3045-01ETG,TopLayer,SOD882,335,630,0,TVS DIODE 5.3VWM 12VC SOD882
D2,RED,TopLayer,LED0402R,1730,800,270,LED RED 0402 SMD
D1,GREEN,TopLayer,LED0402G,1730,200,90,LED YLW-GRN 0402 SMD
C16,"1uF, 35V",TopLayer,CAPC1005X65N,1650,205,90,CAP CER 1UF 35V X5R 0402
C15,"100nF, 50V",TopLayer,CAPC1005X65N,2545,855,180,CAP CER 0.1UF 50V X7R 0402
C14,"10uF, 10V",TopLayer,CAPC1005X65N,2450,855,0,CAP CER 10UF 10V X5R 0402
C13,"10uF, 10V",TopLayer,CAPC1005X65N,525,220,270,CAP CER 10UF 10V X5R 0402
C12,"10uF, 10V",TopLayer,CAPC1005X65N,580,220,270,CAP CER 10UF 10V X5R 0402
C11,"4u7, 16V",TopLayer,CAPC1005X65N,580,362.795,90,CAP CER 4.7UF 16V X5R 0402
C10,"100nF, 50V",TopLayer,CAPC1005X65N,440,370,180,CAP CER 0.1UF 50V X7R 0402
C9,"100nF, 50V",TopLayer,CAPC1005X65N,530,850,0,CAP CER 0.1UF 50V X7R 0402
C8,"100nF, 50V",TopLayer,CAPC1005X65N,535,680,0,CAP CER 0.1UF 50V X7R 0402
C6,"100nF, 50V",TopLayer,CAPC1005X65N,920,810,180,CAP CER 0.1UF 50V X7R 0402
C5,"100nF, 50V",TopLayer,CAPC1005X65N,2640,855,180,CAP CER 0.1UF 50V X7R 0402
C4,"100nF, 50V",TopLayer,CAPC1005X65N,2637.795,142,0,CAP CER 0.1UF 50V X7R 0402
C3,"100nF, 50V",TopLayer,CAPC1005X65N,740,615,180,CAP CER 0.1UF 50V X7R 0402
C1,"100nF, 50V",TopLayer,CAPC1005X65N,435,630,180,CAP CER 0.1UF 50V X7R 0402
